n_Length,n_dots,n_hypens,n_underline,n_slash,n_questionmark,n_equal,n_AtSign,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hastag,n_dollar,n_percent,n_redirection,label
35,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
32,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,4,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
122,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
66,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
46,2,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1
23,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,7,1,0,8,2,7,1,6,0,0,0,0,0,0,0,0,0,0,1
51,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
126,3,0,0,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
124,2,2,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
105,3,1,1,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1
195,3,0,1,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,1
